ID,Barack Obama,Michael Jackson,Eminem,Justin Bieber,Lady Gaga,Adolf Hitler,Lil Wayne,Rihanna,Miley Cyrus,Kim Kardashian,Selena Gomez,Steve Jobs,Nicki Minaj,Abraham Lincoln,Mark Zuckerberg,Taylor Swift,Tupac Shakur,Mila Kunis,Katy Perry,Johnny Depp,William Shakespeare,Cristiano Ronaldo,Angelina Jolie,Albert Einstein,Megan Fox,John F. Kennedy,Jay-Z,Kanye West,Nelson Mandela,Michael Jordan,Beyoncé,Britney Spears,Will Smith,Lionel Messi,Arnold Schwarzenegger,Leonardo Da Vinci,Kristen Stewart,Demi Lovato,Bill Gates,Bruce Lee,George Bush,John Cena,Leonardo DiCaprio,John Lennon,Stephen Hawking,Elvis Presley,Heath Ledger,Osama bin Laden,Charlie Sheen,Jennifer Aniston,Bob Marley,Brad Pitt,Jesus Christ,Tom Cruise,Scarlett Johansson,Sarah Palin,Robert Pattinson,Mariah Carey,Amy Winehouse,Muhammad Ali,Jennifer Lopez,Natalie Portman,Mark Wahlberg,Ronald Reagan,Justin Timberlake,Charles Manson,Sasha Grey,Emma Watson,Freddie Mercury,Bruno Mars,George Washington,Zooey Deschanel,Che Guevara,Whitney Houston,Kobe Bryant,Franklin D. Roosevelt,Snoop Dogg,Shakira,Neil Patrick Harris,LeBron James,Ryan Reynolds,Isaac Newton,Shahrukh Khan,Sylvester Stallone,Christian Bale,Lindsay Lohan,Triple H,Bill Clinton,Margaret Thatcher,Macaulay Culkin,Channing Tatum,Kaley Cuoco,Taylor Lautner,Adam Sandler,Emma Stone,Kurt Cobain,Jackie Chan,Ashton Kutcher,Salman Khan,Vanessa Hudgens,Joseph Stalin,Nikola Tesla,Kesha,Sandra Bullock,Dr. Dre,Christina Aguilera,Avril Lavigne,Elizabeth Taylor,Brittany Murphy,Jim Carrey,Sunny Leone,Manny Pacquiáo,David Beckham,Thomas Jefferson,Mitt Romney,Winston Churchill,Roger Federer,Ernest Hemingway,Julius Caesar,Muhammad,Richard Nixon,Warren Buffett,Benjamin Franklin,Theodore Roosevelt,Jenna Jameson,Mike Tyson,Charles Darwin,Al Capone,Edgar Allan Poe,Malcolm X,Walt Disney,John McCain,Sigmund Freud,Michael Phelps,Galileo Galilei,Sachin Tendulkar,Aristotle,Oprah Winfrey,Tiger Woods,Neil Armstrong,Rafael Nadal,Spartacus,Shaquille O'Neal,Karl Marx,Paris Hilton,Hugh Hefner,Marie Antoinette,Ted Bundy,Ronaldo,Usain Bolt,Fedor Emelianenko,Fidel Castro,Charles Dickens,Ronaldinho,Anne Boleyn,Jimmy Carter,Hulk Hogan,Genghis Khan,Mother Teresa,Plato,Jeffrey Dahmer,CM Punk,Fernando Torres,Napoleon Bonaparte,Friedrich Nietzsche,Randy Orton,Dwight D. Eisenhower,Queen Victoria,Donald Trump,Stephen King,Simon Cowell,Rosa Parks,Mao Zedong,Kim Jong-il,Amelia Earhart,Steve Wozniak,Oscar Wilde,Anne Frank,Mahatma Gandhi,Gautama Buddha,Guy Fawkes,John Adams,Michelle Obama,Martin Luther,Benito Mussolini,Saddam Hussein,Joe Biden,Helen Keller,J. Edgar Hoover,Wayne Rooney,Vladimir Putin,Shawn Michaels,Pope Benedict XVI,Socrates,Magic Johnson,Jeff Hardy,Mark Twain,Jacqueline Kennedy Onassis,Lyndon B. Johnson,Jane Austen,Kaká,Ayn Rand,Rosie Huntington-Whiteley,Bear Grylls,Howard Hughes,Heidi Klum,Joseph Kony,Ron Paul,Miranda Kerr,Lance Armstrong,Zlatan Ibrahimovi?,Harry S. Truman,Adriana Lima,Marie Curie,Dr. Seuss,Chris Jericho,Jesse James,Jeremy Clarkson,Woodrow Wilson,Ed Gein,Gisele Bündchen,Pablo Escobar,Hillary Rodham Clinton,Vladimir Lenin,Babe Ruth,Serena Williams,Pocahontas,Neymar da Silva,Rupert Murdoch,Nicolaus Copernicus,SIR Richard Branson,Thierry Henry,Robert F. Kennedy,Harry Houdini,Novak Djokovic,Ulysses S. Grant,Julian Assange,Maria Sharapova,Ted Kennedy,Nostradamus,Julia Child,Lee Harvey Oswald,Tyra Banks,Vince McMahon,Zinedine Zidane,Henry Ford,Wladimir Klitschko,Jackie Robinson,Bam Margera,Josef Mengele,Charlemagne,Noam Chomsky,Grigori Rasputin,Pelé,Christopher Hitchens,Kurt Angle,Alan Turing,Ryan Giggs,Aleister Crowley,Allen Iverson,Lamar Odom,Conan O'Brien,Carlos Slim Helú,Zodiac Killer,Augustus,Dwyane Wade,Nero,Simon Pegg,Dennis Rodman,Moses,Voltaire,Roger Ebert,Roald Dahl,Monica Lewinsky,Tutankhamun,Robin van Persie,George Orwell,Stephen Colbert,Carl Sagan,Didier Drogba,Dalip Singh,Immanuel Kant,Confucius,Tera Patrick,Jim Jones,Caligula,Alex Ferguson,Frederick Douglass,David Cameron,Linda Lovelace,Andrew Murray,Yao Ming,Diego Maradona,Herbert Hoover,Niccolò Machiavelli,Kim Jong-un,Kevin Durant,Wilt Chamberlain,Kate Moss,race,gender,political orientation
159,100,,,,12,55,,,,,,,,,19,,,,,,,,,,,,,,,3,10,,,,,,0,,,9,,,,,,,,,,,,0,40,,,,,,,,0,,0,53,,,,0,,,,,,,,98,,,,,1,49,,,,,,,83,0,,,,,,,,,,,,,0,,,,,,,,,,,,8,72,,,,,,,,,,0,,,,,,,51,,53,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,79,,,,,,,,,,,,,,,,89,,,,,,,,,,,,36,,,4,,,,,,0,,,,,,,0,,,,,,,12,,0,3,,,,,51,,,,,,,,,,,9,,,,,,,,,,,,,,98,,,,71,,,22,,,,,,,71,,,,,65,,,,,,14,,62,,,,,,,,,,,,,,,,,86,,,,,Other,Female,Democrat
163,,29,,,,,,,,0,,,,,84,,,61,27,,,,,,40,,29,,,,,,66,,,,,,80,,,,,,,,,,,,,,,50,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,40,,,,,,0,,,,,,,,,,,,,,,,,,51,,,,,,80,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,77,,,,,72,,,,,,,,83,,,,67,,,,,,,,,,,71,,,,,,63,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,Other,Female,Democrat
172,,,,51,,,,49,,22,,,17,,,,,,,61,91,,,,,,,,85,,,35,,,51,,,,55,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,89,51,,,,,,,,55,,,,66,34,58,,,,,,,,,,,,,,,,,,,,,,,,,,,74,34,,,,,,,,,,80,,,60,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,86,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,0,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Female,Democrat
62,,19,,,,,,,,,,,,,,,20,,19,22,,,,,20,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,23,,,,,,20,,,19,,,,,,,23,,,,,,73,,,,,,,,19,,,,,,,,,,,,19,,,,,40,36,,20,,,,,,19,,,18,,,,,,,,,,,,,,,,,,40,,,,,,,23,,,,52,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,50,,,,,,16,,,,,,,,,,,,18,,,33,,,40,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,20,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,30,,,,Other,Male,Democrat
84,,21,,,,,,29,,,,,,,60,,,,,,,,,,19,,,,64,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,35,69,,,16,,,,19,,,,,,,19,,,65,,,19,,,,,,,,,,,55,,19,,,,,,22,,,,,,,,,55,71,,,,,,,35,,,,56,,,19,41,,,,,,,,,30,,,,,,25,,,,,45,,,,63,85,,,,,,,,45,19,34,,,,,,,,,,,,,,,,,59,,75,,,,,,,,37,,,29,,,,,,,,,,,,,,,,,,,,,,,,41,,28,,,,,,,56,,,,,,,17,26,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,35,,,27,,Other,Male,Democrat
125,,,63,,,,,,13,,,,,91,,,,,,,,5,,,0,,49,,,,,,,,,33,,,,,25,16,,21,,,,,,61,,,,,,,,,,,,,,7,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,50,,17,,,,32,,,,,,,,,,,,,,,,,,,,0,,,0,,,72,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,21,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,23,Other,Male,Democrat
202,,,,,,,,,,,,,,100,3,,,,,25,,,,70,0,,,,,,0,,,,,,,,,,,5,,,70,14,,,,,,,50,,,,,,,,0,,,,0,,5,,,0,,,,,0,,,0,,,,,,,,,,,,,0,,,0,,,,,,,6,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,45,,76,0,,,,50,,,,,4,,,,,,,,,,,,,62,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,9,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,40,,61,,,,,,,,,,,,,,,,,,,,,,,,,Other,Male,Democrat
1,,0,,,,,,,,,,,,,61,,51,,,,,,,,,93,,,,70,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,72,,,,,,,,71,,,,,,,,,,,9,,,,,,,,,,,,,,71,,,,,,,71,,81,,,60,,,,55,,21,,,,,,1,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,59,,,,,,,,,20,,,,,,,,,,,,,41,,0,,,,,,,57,,,,55,,,100,,,,,,,,,,,,,,,,,,,,,,White,Female,Democrat
7,,,,,,,,,,,,,,,,,,,,,78,,,,,99,,,,,,,83,,,77,,,90,79,,,,81,100,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,75,,,,,,,28,,84,,,,,,,,56,,,,,,,63,,77,,,,,75,,,,,,,,,,92,,,93,,,52,,,62,,,,,,90,,84,97,,,,,71,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,99,,,,,,99,,97,,78,,,,,,,,,,,,74,,,,,,,,,,,,74,,,,50,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,40,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,89,,79,,,,,,,,,,,,,,,White,Female,Democrat
12,,,,0,,,,,,,,,10,,90,,,,,,,,,,,,,,,,,,,,60,40,,,,,,,,60,,10,20,70,0,,,,,70,,0,,,,,,,,,,,,,,20,,20,,,,,,,,,,,,,,,,,,,,10,,,,,,,,40,,,60,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,20,,90,,,,,,,,,,,,,,,,,,20,,,,60,,,,,,60,,,,,,,,,,,60,,,,,,,20,50,,,0,50,,50,,,,10,,,,,,60,,0,,,80,,,,,,,30,,60,,,,,60,,,,,,,40,,,,,,,,,,,,50,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,White,Female,Democrat
13,,,,,51,,,,,,,,,,,,,,20,,42,,,,10,,30,4,,,,,,,,57,,19,,,,,,,,,,84,,32,29,,,,,,16,,,,,,51,,,,,,,,99,,,,,,,36,,,,,,,,,,,,,,,,,,,,24,,,,,,42,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,30,,,,,,60,,,,,,,15,,,,,,,,,,,,,87,,,,,,,,95,2,,,,,,,,,,,,51,,,94,,,,,58,,,,,,,,,63,,,,,,,,24,59,,,,,,,,,,,,79,,,,,,,28,82,,,,,,,,,,,,,,,,,,,51,,69,,,82,,,,,,,,,,,,,16,,,,,,,,,,,,,,,60,,,,,,,,,81,,,,,,,,,,,,White,Female,Democrat
14,,,,21,57,20,25,,,,,,,91,,,,52,,,,,,,48,,,,,,,,,,,,52,,,,,52,47,,,,,,,,54,,,,,,,,,,,,,46,,,39,,,,,,71,,,,,,,,,,,,,14,,77,,,41,,,41,,,,,,,,,,,,,,,,,,,56,,,78,,,67,,,,,74,,,,,,,,,,,56,,,73,,,,,55,,,45,20,9,,,,57,53,,,,,,53,,,,,,55,,,,,,,,,29,56,,,,82,,,,76,,,20,65,66,,,,,,,,,,,,,,,,,,,,33,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,75,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,11,,,,,,,,,,,,,,White,Female,Democrat
24,,,,,,,,,,,,,4,,,,,,0,,,,,,,,57,,,72,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,48,,,53,85,,,,40,0,,,,,,,,,,,,,,,,,12,,0,59,,13,,,,,,0,0,,,,,,,,,,,,,,,15,,53,,,,,,,,,,59,,0,,,,57,,,,9,15,,,,39,,,,,,62,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,45,,34,,,,,,,,,,,,,0,,,,,,72,,,16,,,,,11,,,,,,,,,,,,,,,,,,,,44,,,29,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,28,,,,,,13,,,White,Female,Democrat
27,,,,,91,,,,,66,,78,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,29,,,,,72,9,,,61,89,76,,,28,77,,,,,,10,,,,,,,,51,,,,,,,,,,,,,,,,82,,,70,,,19,,,,67,,,,,,,,,,,,,,,51,,,,,,,,,,,94,,,,,,94,69,62,,,,,,95,21,,,,,,,,,,,,,,,,,,,,,64,,,,40,,,,,,,,,,,,71,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,10,10,,,,92,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,87,,,,,,41,,0,,,,,,,,,,,,,,,,,,,,4,,,,,,,,77,,84,,,80,,,,,,,,,,,,,75,,,,,White,Female,Democrat
37,,,65,,,,,93,,,,,,,,,,,,,57,,,,60,,,,,,,,,52,,,,,,,,,,,,,55,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,58,,,,,,,,64,,,,,,,,50,70,,52,,,59,,,,52,,,,,,,,,,,,87,,,,,,,,,62,52,65,,,82,,,,,,50,,,,56,,79,,,,,,,55,,73,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,38,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,42,,65,,,,,,,55,37,68,,,,,,,,,,,,,,,,,,,,,White,Female,Democrat
42,,,34,16,,,,56,,,,,,,,40,,,,40,,,,,24,,,,,,,,34,,,36,43,35,,,,45,,,,,37,,,,,,,,,,,,,,,,,55,,,,,30,,,,,,,,,,,45,44,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,20,,,,9,,,,37,,,,,,31,,,,,,,,,,,,,35,21,,,,,,,,,,,,,,,,,,,,,39,45,,,,,87,,,,,,,,,,,,,,,,32,,,,18,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,White,Female,Democrat
43,97,16,,,,52,,,12,,,,,90,,,,,20,13,,,53,,,,,9,96,,,,,,,,,,,,35,,,38,,,,,,,,,92,,,,,24,25,,,,11,,36,,,66,,,,,,,,90,,,,,,,,,40,,,,,,,,,,,26,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,66,,,56,,,26,,,,,,,,,,,,,,,,,,,,,85,,,,,,,32,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,60,,,41,,,,,,,,79,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,31,,,,,,,,,,,,38,,,,,,White,Female,Democrat
55,,,,,0,,,,,0,,,,,,,,,0,,,,0,,,85,,,,,,,,,,,,,,,,10,,,,20,,,,,,,,,,0,,0,,,,,,20,,,,,,9,,,,,,,,,,,,,,,,,,78,,,,0,,14,,,,,,6,,51,,,,,0,,,,,,,71,53,100,,58,,53,11,,,,,,,,,,,,,,86,,,,,88,,,,,,4,,,,,,,,,89,,0,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,7,,,,,,,,,,,80,,,,62,,,,,,,,,,,,,,,,0,,0,,,,52,,,,,,,87,,,,,,,,,,,,,74,,82,,,,,,,,,,,0,,,,,,,,,,,,,,68,,,,,,,,,,,,,0,,84,,,,,,66,,0,,,,White,Female,Democrat
57,,5,,,,,,,,,,,,,20,,,,,15,,,,,,65,,,,,,10,,,,70,,,60,,,,,,,15,,,,,,15,,,,,,,,,,,,,,0,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,0,,,,,,,,,,60,95,,,,,,,,,,,30,,,,55,,,,,,,,,,,,30,,,60,,,,,,,80,0,,,,,,,,,,30,,,,,50,,,,80,70,,,,,,,70,,,,,,,,,70,,65,40,,,,,,15,,20,,50,,65,15,,20,,,,70,,,,,,,,,,,,,,,20,,65,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,30,20,,White,Female,Democrat
58,,,66,,,95,71,,,,61,,,,,,,,,,,,,,,,,,100,99,,,96,,,,,,96,,,,27,,,,,,,,,46,,,,,,,,87,,,,,,,,,88,83,,90,,,,,,,,,,,,,,,,,,,,,,81,,,,76,,,,80,92,,,93,,,,,,,,,,,,,,,,,,,76,,15,,,,,,45,,,,,,,,,,,,,,,,,74,,20,,,,,,,,81,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,92,,,78,,,,,,,,,,92,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,92,,,,,,,,,,,,,,,,,,,,,,,,94,,,93,,,White,Female,Democrat
65,,,,,80,,,,51,,60,95,,,,,,60,,42,,,,65,,,,,,,,,,,,,,,,65,,,56,60,70,,,82,,,,,,,,,,,,,58,,,,,,65,55,65,,,,,,,,71,,,,,,,65,,,65,,,52,,,,60,,,,55,,,,,,,,,,,,,,,,,,,55,70,,,,,,,,,,,,,,,,,80,,,,,,64,,,,,80,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,84,,60,,85,,,,,,,,,,,98,,,,,,,,,,,,,,,60,,,40,,,,,,,,55,,,,,,,,,,,,92,,,,,60,,,,,,,,,,,,90,,,,80,,,,,,,55,,,71,46,,,,,80,,,,90,70,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,White,Female,Democrat
71,,,51,,,,,,,76,,,,,46,,,51,56,51,,51,,,,,,,,51,,,,,,,,,,,40,54,51,74,70,,,,36,,,,,,,,,,,,,,,74,,,,,74,,,,,,,,65,,,,,,,,,,,,88,,,,,,,52,,,,,,,,,,,,,44,,,,,,39,,,,,,,,,,,,52,75,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,11,,,,,,,,,,,63,,,100,,,,,,53,,,,,,59,,,,,,,,53,,,,,,,,,62,,61,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,43,,69,,,,,,,,,,,,,,,,,,,,,,,,73,,,,38,White,Female,Democrat
72,100,,,,,,,,,,,,,100,,36,70,,,,,,,,24,,,,,91,,,,,,,37,35,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,54,,,,,60,56,,,,,,,,66,,,,,55,,,,,,,,,,,,,,,,39,,,,100,,,,,,,,,,,,,,,,,20,,,,,,,,,83,,,,,,,,,,,91,,,,,,91,95,,,,,,,,87,,,87,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,62,,,,,,,,95,,87,,,,,,,,,,,,,39,,,,,80,,,,,89,,,41,,,,60,,,,,,,,,,,,,,,,,,,,,,White,Female,Democrat
76,,,30,,,,,,,,70,,,,,,,,,,,,40,,,,,,,70,,,,,,80,,,,,,,,,80,,,20,0,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,20,,,,,,,30,,,,,60,,,100,40,,,,,100,90,,,,,,,,,,,,80,,70,,,,,,,50,,,,,,,,70,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,70,,,,,,,,80,,,,,,,0,,,40,,,,,70,,,,,,,,,60,,,,,,,0,,,20,,,,,,,,,,,,,,,40,,,,,,,70,,,,,,,,,,,White,Female,Democrat
83,90,,,,,,,,,,,,,,,,,,,,,,,,,,40,,50,,70,,,,,,,,,,,,,,60,,,,,,,,,0,,,,50,40,,,,,,,,,,,,,,,,,,,,,,50,40,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,40,,,,,,,66,,65,,50,,,,50,,,,,65,,50,75,,,,,,,,,,70,,,,,,,,,,,,,45,,95,,30,,85,,,,,,,,,,,,,,,,,,,50,,50,,40,,,,,,,,,60,,,,85,,55,,,,,,,,,,,60,,,,,35,20,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,50,,,,,,,,,,,,,,,,,,White,Female,Democrat
85,,,,,,,,,,,,,,,,53,46,,,,,,,,,,,23,,,,,,,,,,,,,,,,79,73,,,,,,53,,,56,,,,25,,,55,,,,59,,,,,65,,,,17,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,66,8,,66,,,,59,,,,95,40,,,,,,6,,,,,,,,,,,,,,91,,,,,,,,,,2,,35,,,,,,,,,,,,94,53,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,16,,,,87,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,53,,,70,,,,,,,,,,,31,,,,,,57,,,,,,,,White,Female,Democrat
91,,,,,31,1,32,,,,,,,91,35,,,,,,,,49,,,,,,,,,,,,,39,,25,,,,,25,41,,26,,,,,,,,14,,,,,,,,,,,,,,,,28,,35,,37,,82,,,57,,,,,,,,,,71,20,,,,,,16,,,,,,56,,53,,,38,,,,,,,,,,,,,,38,,,,,,,,,81,,78,,,,,61,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,25,,45,,,,,62,35,,,,,,,,,,,32,,,,,,,,,,56,,58,,,,,,41,,,,,,,,,,,,,,,,,94,,,,,,35,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,41,,,,,,,,,White,Female,Democrat
95,100,,,,,,,,,,,,,100,,95,,,11,,,,,,,,,,,76,,,,,,,24,,,,,,68,61,,,,45,,,,62,,,,,,60,,84,,,,,64,,,,,,100,,,,,,,,,,,77,,,,,,,,29,,,,,,,,,,71,,,47,,,43,,,,,,,,,,,,,,100,,,,,17,,,,,,,100,,,,,,,39,,,,,,46,,,,68,82,,,,,,,,,,,,,40,,,,,65,,,76,,63,,,,,,,,,,,,,,100,,60,,,,,,,,,,,,,,,,,,,39,,,,,,85,,,,,,,,,,,,,,,81,,,,60,,,,,,81,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,40,,,,54,,,,,,,,,,,,,,11,,,,,,60,,,,,White,Female,Democrat
101,,,,,,83,,,,,60,,38,,,,,,,,,,83,,,,,,,,90,60,,,,,60,51,95,66,,,,,95,,,,,,,,,,,,,,,69,,78,,,,,,,,63,,,79,,,,,,67,,,,,60,,,,,,,,,,,,70,86,,,,,78,,,,,,,,,,,,83,,,,,,,37,,,,,,,,,,,70,,,,,,,,73,,,75,,,,,,,,,,,,,,,,,85,40,,,83,,,,,,68,67,,,,83,,,,96,,65,,,,,,75,,,,,,,,,,75,,,,,,,64,,,,,60,,,,,,,,,,,,,,,,54,,,,,,,,,,,85,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,62,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White,Female,Democrat
109,,,,,,,,,,,,,30,,,,,,,,,,90,,,,,,,,,,,,,,,,100,,,,,,,,,,0,,,,,,,,,,,,,,80,,,0,,,,,,,,70,,,,,,,,100,,,,30,,,,,,,,,,,,,,,,,,,20,,,90,,,,,,,,,,,,,,,100,,,,,90,90,,,,,,,,,100,,100,,,,,,,,0,,,,,85,,,100,70,,,,0,,,,,,,,,,70,,,,,,,,,,,,,,,0,95,,95,,0,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,85,,,40,,,,,,,75,,,90,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,65,,,,,,,,,,,70,85,,,,,90,,,,,,White,Female,Democrat
110,99,,26,,,,,,,,,97,,,,,,,41,,,,,,54,,,,,,,,,,,31,,,,,,55,,,,,,,,,57,,,,,,,47,,,,,,,,,,59,,,,,,,,,,56,,,,41,,,13,,55,97,,28,,,19,,,,,,,,,46,,,,34,,,2,,,,,,,,,,53,,,,,,,,,,34,,,,,,,,,,,,,,,,21,,,,46,,,,,43,,,,,,,,,,45,,,,,,,,,,53,,38,25,54,,,,,92,,,,,,,,,,,,,,53,,,,,0,,,,,,28,,,,,,,,,,,22,0,,,,,28,,,,,,,,,,,,,,,,53,,,,,,,,,,,,45,,,30,56,,48,,,,,,,,,,,,,60,,,,,,,,,,,,51,,,,,,34,,,,,,,,,,White,Female,Democrat
113,,36,,,,,,,,,,,39,,,,,,,,,,,,,,,,,60,55,36,,,,,,,,,56,,,,60,,,,8,,40,,,,,,,,,,,,,,39,,,,,,58,,55,,57,,0,57,,,,,,,,,,,,22,52,,,,,,60,,,,,,,,22,,30,,,,,,40,,,81,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,0,,,,,,,,,,,61,,,,,,,,,,,43,,,,,,,,27,,,,,,,,,84,,,,,,,,54,,,,,,,,,33,,,,,,,,65,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,23,,,,,,,,59,,,,,,50,,,,,,,,,,,,,,,,,,38,,,,,,,,50,,,,,,,,,,,,40,0,,,30,White,Female,Democrat
